Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
8/25,Friday,YOUTUBE MUSIC ,240,Entertainment
8/25,Friday,YOUTUBE  ,30,Entertainment
8/25,Friday,MESSEGES,20,Social Media
8/26,Saturday,YOUTUBE,60,Entertainment
8/26,Saturday,GENSHIN IMPACT,35,Entertainment
8/26,Saturday,CANVAS,20,Education
8/27,Sunday,YOUTUBE,120,Entertainment
8/27,Sunday,YOUTUBE MUSIC ,65,Entertainment
8/27,Sunday,CANVAS,36,Education
8/28,Monday,YOUTUBE,68,Entertainment
8/28,Monday,MESSEGES ,45,Social Media
8/28,Monday,YOUTUBE MUSIC ,19,Entertainment
8/29,Tuesday,YOUTUBE ,50,Entertainment
8/29,Tuesday,CANVAS ,15,Education
8/30,Wednesday,YOUTUBE ,66,Entertainment
8/30,Wednesday,YOUTUBE MUSIC ,60,Entertainment
8/30,Wednesday,MESSEGES,26,Social Media
8/31,Thursday,YOUTUBE MUSIC ,55,Entertainment
8/31,Thursday,MESSEGES,22,Social Media
8/31,Thursday,YOUTUBE,15,Entertainment
